Emotion vector: [0.2, 0.6, 0.3, 0.1, 0.4, 0, 0.1, 0.2, 0.5, 0, 0, 0, 0, 0.4, 0] 

Explanation:
- Happiness: 0.2 (Slight indication)
- Sadness: 0.6 (High intensity)
- Fear: 0.3 (Moderate intensity)
- Disgust: 0.1 (Low intensity)
- Anger: 0.4 (Moderate intensity)
- Surprise: 0 (Not present)
- Anticipation: 0.1 (Low intensity)
- Trust: 0.2 (Low intensity)
- Distrust: 0.5 (High intensity)
- Love: 0 (Not present)
- Saudade: 0 (Not present)
- Awe: 0 (Not present)
- Bittersweetness: 0 (Not present)
- Melancholy: 0.4 (Moderate intensity)
- Nostalgia: 0 (Not present)
